S.No,Book Id,Author,Title,Genre,Language,Publisher,Year,Book Price
1,BK00001,Satkari Mookerjee,"The Jaina Philosophy of
Non-Absolutism",Philosophy,English,Bharat Jaina Parisat,1982,2099
2,BK00002,Swami Nikilananda,Ramakrishna,Biography,English,Rider & Co.,1948,1499
3,BK00003,"Selwyn Gurney Champion
& Dorothy Short","Readings From World
Religion",Economics,English,"Watts & Co., London",1942,3299
4,BK00004,Bhupendra Datta,Swami Vivekananda,Biography,English,"Nababharat Pub.,
Calcutta",2018,1499
5,BK00005,H.D. Lewis,The Principal Upanisads,Philosophy,English,George Allen & Unwin,1957,2099
6,BK00006,Jawaherlal Nehru,Buddhist Texts,Philosophy,English,Bruno Cassirer,2006,1399
7,BK00007,A.P. Karmarkar,The Religions of India,Philosophy,English,"Mira Publishing Lonavla
House",2000,2099
8,BK00008,"Shri Krishna Menon
Atmananda",Atma-Darshan,Philosophy,English,Sri Vidya Samiti,1988,2599
9,BK00009,Henri de Lubac S.J.,Aspects of Budhism,Philosophy,English,sheed & ward,2014,1899
10,BK00010,J.M. Sanyal,"The Shrimad
Bhagabatam VolI",Philosophy,Hindi,Oriental Pub.,2007,2599
11,BK00011,J.M. Sanyal,"The Shrimad
Bhagabatam Vo.l III",Philosophy,Hindi,Oriental Pub.,2012,3199
12,BK00012,J.M. Sanyal,"The Shrimad
Bhagabatam Vol.V",Philosophy,Hindi,Oriental Pub.,1950,3199
13,BK00013,Mahadev Desai,"The Gospel of Selfless
Action",Cultural,Tamil,Navijvan Press,1963,899
14,BK00014,Shankar,"Shankar's Children Art
Number Volume 28",Fiction,Tamil,Yamuna Shankar,2002,2199
15,BK00015,Shankar,The Adyar Library Bulletin,Literature,Tamil,"The Adyar Library and
Research Centre",1990,2099
16,BK00016,Fraser & Edwards,"Life And Teaching of
Tukaram",Biography,Tamil,"Christian Literature
Society for India",1975,3499
17,BK00017,Monier Williams,Hinduism,Philosophy,Telugu,Susil Gupta (India) Ltd.,1986,899
18,BK00018,L.S.B. Leakey,Mau Mau & The Kikuyu,Biography,Telugu,Methuen & Co.,1959,1699
19,BK00019,Manning,Hymns of The Rigveda,Philosophy,Telugu,Susil Gupta (India) Ltd.,2013,1099
20,BK00020,Max Muller,Heritage of India,Cultural,Telugu,Susil Gupta (India) Ltd.,2012,399
21,BK00021,F.Max Muller & Others,Studies In Budhism,Cultural,Telugu,Susil Gupta (India) Ltd.,1997,3499
22,BK00022,Swami Akhilananda,"Mental Health And Hindu
Psychology",Philosophy,English,George Allen & Unwin,1986,2699
23,BK00023,Swami Vivekananda,"The Complete Works of
Vol.. (3)",Biography,English,Advaita Ashrama,1956,3399
24,BK00024,Swami Vivekananda,"The Complete Works of
Vol.. (4)",Biography,English,Advaita Ashrama,1987,1899
25,BK00025,Swami Vivekananda,"The Complete Works of
Vol.. (5)",Biography,English,Advaita Ashrama,1948,3299
26,BK00026,Swami Vivekananda,"The Complete Works of
Vol.. (6)",Biography,English,Advaita Ashrama,1977,499
27,BK00027,Swami Vivekananda,"The Complete Works of
Vol.. (7)",Biography,English,Advaita Ashrama,1943,3099
28,BK00028,Swami Vivekananda,"The Complete Works of
Vol.. (8)",Biography,English,Advaita Ashrama,1985,3499
29,BK00029,"Swami Brahmananda &
Christopher Isherwood",Bhagavad- Gita,Philosophy,English,Jean De Brunhoff,1971,3399
30,BK00030,Swati Brahmananda,The Eternal Companion,Fiction,English,Jean De Brunhoff,1946,2799
31,BK00031,N.V. Thadani,MIMANSA,Philosophy,Tamil,Research Institute,2020,2799
32,BK00032,Swami Prabhavananda,"Vedic Religion &
Philosophy",Philosophy,Tamil,Sri Ramakrishna Math,2015,1099
33,BK00033,V.D. Rishi,Spiritualism In India,Philosophy,Tamil,Popular Book Depot.,2010,699
34,BK00034,Dr. B.A. Parab,"The Miraculous &
Mysterious In Vedic Literature",Philosophy,Tamil,Popular Book Dept.,1962,1399
35,BK00035,Duncan Greenlees,"The Gospel of the Guru-
Granth Sahib",Philosophy,Tamil,The Theosophical Pub.,2001,1799
36,BK00036,Swami Vivekananda,"Selections From Swami
Vivekananda",Philosophy,Tamil,Advaita Ashrama,1974,2099
37,BK00037,Vincent Sheean,Lead Kindly Light,Philosophy,Tamil,Cassell & Co.,1984,799
38,BK00038,G.Subba Rao,Indian Words In English,Cultural,Tamil,Oxford University Press,1954,1299
39,BK00039,R.N.W. Bishop,Unknown Nepal,Cultural,Tamil,Luzac & Co.,2014,1199
40,BK00040,Earl Denman,Alone To Everest,Economics,Hindi,Collins,2010,1099
41,BK00041,P.R. Ramachandra Rao,India & Celon,Biography,Hindi,Orient Longmans,1991,2399
42,BK00042,Pearce Gervis,This Is Kashmir,Biography,Hindi,Cassell & Co. Ltd.,1983,2899
43,BK00043,Publications Division,"India's National
Laboratories",Economics,Hindi,Publications Divisions,1997,1699
44,BK00044,Brigadier Rajendra Singh,"Organization and
Administration in the Indian Army",Cultural,Tamil,"Aldershot Gale & Polden
LTD",1975,2099
45,BK00045,N.Aruanachalam,Modern International Law,Biography,Tamil,Southern Law House,2013,799
46,BK00046,Barada Ukil,Six Seasons,Cultural,English,Dhoomi Mal Dharam Das,1980,799
47,BK00047,Jamila Brij Bhusan,Indian Jewellery,Cultural,English,"D.B. Taraporevala Sons
& Co.",2005,2599
48,BK00048,Mulk Raj Anand,Seven Summers,Literature,Hindi,Hutchinson,1949,1499
49,BK00049,Brian Harrison,South East Asia,Biography,Hindi,Macmillan,1990,999
50,BK00050,Stella Kramrisch,"Dravida & Kerala In the
Art of Travancore",Cultural,Hindi,"Artibus Asi Pub.,
Switzerland",1954,2199
51,BK00051,K.M. Panikkar,"Hindu Society at Cross
Roads",Society,Telugu,Asia Publishing House,1979,499
52,BK00052,Thakin Nu,"Burma Under The
Japanese",Biography,Telugu,Macmillan & Co.,1969,1199
53,BK00053,M. M Bhattacherje,"Speeches & Writings of
Eminent Indians",Biography,Telugu,Macmillan & Co.,1942,2699
54,BK00054,A.K.Yegna Narayan Aiyer,"Village Improvement And
Agricultural Extension",Society,Telugu,"Bangalore Printing and
Publishing House",1944,2999
55,BK00055,M.P.Jain,"Outllines of Indian Legal
History",Fiction,Telugu,M.P. Jain,1983,499
56,BK00056,Jadunath Sarkar,Short History of Aurangzib,Fiction,English,M.C.Sarkar & Sons,1981,3099
57,BK00057,B.G.Gokhale,Buddhism & Asoka,Philosophy,English,Padmaja Pub.,1982,3499
58,BK00058,Jadunath Sarkar,Fall of The Mughal Empire,Biography,English,M.C. Sarkar & Sons,1963,2299
59,BK00059,K.M. Panikkar,A Survey of Ind. History,Fiction,English,Asia Publishing House,1969,2899
60,BK00060,K.M. Panikkar,"Asia & Western
Dominance",Biography,Arabic,George Allen & Unwin Ltd,1969,699
61,BK00061,Rajbali Pandey,Indian Palaeography,Economics,Arabic,Motial Banarasidas,1969,899
62,BK00062,Bimala Churn Law,Tribes in Ancient India,Fiction,Arabic,"R.N. Dandekar,
Bhandarkar oriental Research Institute",1972,2099
63,BK00063,D.S. Triveda,"The Pre-Mauryan Histroy
of Bihar",Fiction,Arabic,Motilal Barnasidass,1967,899
64,BK00064,N.C.Sen-Gupta,"Evolution of Ancient
Indian Law",Biography,Arabic,Eastern Law House,1998,1999
65,BK00065,Radha Kumud Mookerji,The Gupta Empire,Fiction,Arabic,Hind Kitabs Ltd.,1994,2499
66,BK00066,Jawaharlal Nehru,"Independence & After
(Speeches) (2cps)",Fiction,Arabic,Pub. Division,1954,1099
67,BK00067,P.C.Roy,The Mahabharata Vol.I,Classic,Arabic,Oriental Pub.,1944,2399
68,BK00068,Sri Aurobindo,The Futrue Poetry,Literature,Arabic,"Sri Aurobindo Ashram
Pondicherry",1993,1299
69,BK00069,Dr. Pramathanath Banerjee,"A Study of Indian
Economics",Economics,Arabic,Calcutta University,1952,799
